mission,probability_planet,decision,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_rearth,impact_param,snr,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,stellar_metallicity,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,mission
Kepler,1.0,CONFIRMED(model),9.48803557,2.9575,615.8,2.26,0.146,35.8,5455.0,4.467,0.927,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),54.4183827,4.507,874.8,2.83,0.586,25.8,5455.0,4.467,0.927,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9783196615086236,CONFIRMED(model),2.525591777,1.6545,603.3,2.75,0.701,40.9,6031.0,4.438,1.046,0.07,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9606662654793956,CONFIRMED(model),11.09432054,4.5945,1517.5,3.9,0.538,66.5,6046.0,4.486,0.972,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),4.13443512,3.1402,686.0,2.77,0.762,40.2,6046.0,4.486,0.972,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9744444444444443,CONFIRMED(model),2.56658897,2.429,226.5,1.59,0.755,15.0,6046.0,4.486,0.972,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),16.06864674,3.5347,4914.3,5.76,0.052,161.9,5031.0,4.485,0.848,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9464646464646463,CONFIRMED(model),2.470613377,1.74319,14230.9,13.04,0.818,4304.3,5820.0,4.457,0.964,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,0.892379679144385,UNDECIDED,2.204735417,3.88864,6674.7,16.1,0.224,5945.9,6440.0,4.019,1.952,0.14,0.0,1.0,0.0,0.0,Kepler
Kepler,0.9635586635586636,CONFIRMED(model),3.522498429,3.19843,9145.7,14.59,0.631,1741.5,6225.0,4.169,1.451,-0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9845811839842791,CONFIRMED(model),3.709214104,2.6302,131.1,1.16,0.051,50.6,5833.0,4.407,1.022,-0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),9.27358173,3.2875,1288.3,2.47,0.387,87.2,4856.0,4.583,0.696,-0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),6.02930329,1.5821,1912.7,2.85,0.258,65.4,4537.0,4.648,0.672,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),5.349553819,3.0278,831.0,2.55,0.092,60.6,5185.0,4.44,0.91,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),3.94105221,2.5984,363.3,1.7,0.226,28.9,5185.0,4.44,0.91,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9932768361581921,CONFIRMED(model),8.10904807,3.596,217.4,1.3,0.025,14.1,5185.0,4.44,0.91,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),21.67699193,3.4555,857.2,2.95,0.896,34.3,4954.0,4.5,0.828,0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.99677968,2.1717,934.7,2.78,0.71,28.2,5339.0,4.552,0.847,0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.280963604,2.875,750.8,2.3,0.424,61.8,5644.0,4.564,0.831,-0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),38.3775486,5.588,724.2,2.82,0.468,34.7,5481.0,4.369,1.036,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),41.19725502,4.6297,2213.9,3.86,0.045,51.2,5031.0,4.485,0.848,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),6.252962249,2.5819,1036.9,2.65,0.105,47.1,5031.0,4.485,0.848,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),16.01308419,3.2554,1121.9,3.1,0.799,33.2,5015.0,4.499,0.826,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9827863121894073,CONFIRMED(model),32.62876672,4.7971,1804.8,3.36,0.021,80.0,5586.0,4.56,0.798,-0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9829446013230798,CONFIRMED(model),91.7732862,6.473,652.0,2.12,0.606,19.1,5586.0,4.56,0.798,-0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9586868686868687,CONFIRMED(model),4.959319244,2.22739,9802.0,12.21,0.831,696.5,5712.0,4.359,1.082,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),4.49876511,3.7362,460.0,2.1,0.312,29.5,6075.0,4.486,0.969,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),5.412203927,2.9472,601.6,2.94,0.787,166.7,5779.0,4.339,1.087,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),41.43958662,10.5989,2793.1,5.5,0.355,141.1,5468.0,4.367,1.046,0.22,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9932768361581921,CONFIRMED(model),8.35389523,2.2514,1041.6,2.52,0.023,43.4,5592.0,4.582,0.787,-0.28,0.0,0.0,0.0,0.0,Kepler
Kepler,0.982165725047081,CONFIRMED(model),4.125543472,3.1744,1487.3,4.43,0.597,128.6,6174.0,4.417,1.103,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9861761426978818,CONFIRMED(model),2.816504904,2.50587,16813.7,12.21,0.105,1406.8,5532.0,4.452,0.955,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),3.689920099,2.6557,426.7,1.89,0.151,35.6,5880.0,4.518,0.917,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.431238488,3.15,1010.9,3.25,0.405,71.1,5714.0,4.428,1.015,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9779710144927536,CONFIRMED(model),11.37936986,2.6255,1023.5,3.95,0.911,37.9,5714.0,4.428,1.015,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),26.39432897,3.573,1510.9,3.07,0.602,48.2,5129.0,4.595,0.763,0.02,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),13.57078281,3.3539,511.7,2.64,0.866,88.4,5854.0,4.406,1.012,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9690821256038648,CONFIRMED(model),7.12594387,3.0014,192.4,1.79,0.898,47.1,5779.0,4.339,1.087,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),16.38489988,3.0249,1127.1,2.0,0.001,28.9,4126.0,4.661,0.615,0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),7.8774163,2.0805,1306.1,2.16,0.041,38.7,4126.0,4.661,0.615,0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),36.4454001,4.007,1122.3,1.99,0.028,21.7,4126.0,4.661,0.615,0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,0.8393162393162393,UNDECIDED,3.728732147,2.683,5226.5,6.02,0.558,345.2,5497.0,4.577,0.809,-0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9761761426978819,CONFIRMED(model),2.243380573,1.1196,821.7,1.99,0.915,38.9,4149.0,4.698,0.564,-0.32,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),2.337437946,1.9982,971.2,2.34,0.28,82.4,5005.0,4.595,0.765,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.963276836158192,CONFIRMED(model),11.59822233,2.5237,2804.5,2.65,0.679,71.0,3688.0,4.79,0.473,0.0,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9587606837606838,CONFIRMED(model),6.575315881,4.3084,2793.3,5.31,0.39,221.1,5992.0,4.415,0.989,-0.32,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9823806013732735,CONFIRMED(model),7.275040844,7.5377,3001.0,4.86,0.547,312.1,5485.0,4.556,0.867,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),19.27153892,2.7594,1219.8,1.93,0.031,37.1,4077.0,4.702,0.56,-0.24,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),10.06524317,1.369,1053.3,1.91,0.628,30.3,4077.0,4.702,0.56,-0.24,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9857808857808859,CONFIRMED(model),12.3935651,3.8896,916.6,2.66,0.883,35.8,5557.0,4.603,0.75,-0.4,0.0,0.0,0.0,0.0,Kepler
Kepler,0.990909090909091,CONFIRMED(model),43.84439721,6.802,615.2,2.87,0.852,83.7,5854.0,4.406,1.012,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),2.711504086,3.0099,837.5,3.12,0.023,64.5,6214.0,4.442,1.076,0.07,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9948717948717949,CONFIRMED(model),7.21203748,4.0491,950.4,3.32,0.012,51.5,6214.0,4.442,1.076,0.07,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),8.47237911,2.7245,1123.5,2.59,0.022,47.6,5354.0,4.587,0.788,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),60.4189369,5.039,931.3,2.36,0.094,20.1,5354.0,4.587,0.788,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9444444444444443,CONFIRMED(model),12.611904345,5.1497,6105.6,7.4,0.55,277.2,5795.0,4.508,0.919,-0.02,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),2.539183147,2.4282,382.1,2.06,0.238,38.9,5519.0,4.35,1.062,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9657487922705315,CONFIRMED(model),6.770300385,2.0844,1304.0,2.77,0.838,50.8,5653.0,4.656,0.679,-0.84,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),20.06036336,3.3203,1494.7,1.96,0.556,35.2,3950.0,4.754,0.493,-0.46,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),46.1842039,4.758,1394.7,1.83,0.013,26.0,3950.0,4.754,0.493,-0.46,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9635586635586636,CONFIRMED(model),23.9800854,5.351,104.0,1.31,0.95,17.1,5854.0,4.406,1.012,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9657487922705315,CONFIRMED(model),7.82502168,2.186,520.8,1.2,0.708,15.9,3950.0,4.754,0.493,-0.46,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9444444444444443,CONFIRMED(model),3.895936525,2.3111,8544.8,7.34,0.524,370.8,5557.0,4.592,0.774,-0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),22.36646466,5.228,986.8,2.32,0.4,32.1,5395.0,4.615,0.734,-0.34,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9690821256038648,CONFIRMED(model),1.625522174,2.38963,7969.0,9.73,0.076,799.7,5539.0,4.322,1.106,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),9.02930689,3.1449,1019.8,2.57,0.024,53.9,5349.0,4.526,0.82,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9827863121894073,CONFIRMED(model),143.2063047,8.9302,10565.7,8.9,0.379,138.8,5485.0,4.556,0.867,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9464646464646463,CONFIRMED(model),6.164876,3.262,55.8,0.79,0.646,14.4,5854.0,4.406,1.012,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9827863121894073,CONFIRMED(model),60.32494216,6.6188,20280.4,12.19,0.224,347.2,5485.0,4.556,0.867,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),29.1598615,4.803,488.0,1.91,0.3619,11.6,5485.0,4.556,0.867,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9181372549019606,CONFIRMED(model),1.594745374,1.9604,15044.5,11.3,0.514,1009.3,5934.0,4.491,0.893,-0.38,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.783002698,2.335,1008.7,2.5,0.003,70.6,5170.0,4.574,0.807,0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9845811839842791,CONFIRMED(model),20.50588921,4.0595,2105.5,3.41,0.26,78.5,4905.0,4.544,0.761,-0.04,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),3.340218842,1.9104,1632.6,2.03,0.466,71.6,3950.0,4.754,0.493,-0.46,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),18.64932728,4.4056,893.6,3.12,0.08,46.1,5775.0,4.405,1.053,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.90144976,4.1654,140.7,1.7,0.529,50.6,5847.0,4.191,1.402,0.26,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9861761426978818,CONFIRMED(model),9.75192101,4.793,418.0,2.76,0.949,28.5,5775.0,4.405,1.053,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879145173176124,CONFIRMED(model),38.5576546,5.794,993.0,4.02,0.911,39.7,5775.0,4.405,1.053,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9861761426978818,CONFIRMED(model),3.525632539,2.59959,22335.0,11.58,0.12,1996.7,5150.0,4.572,0.793,0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9913043478260869,CONFIRMED(model),7.748094239,3.5957,2472.1,5.52,0.517,113.2,5973.0,4.439,1.085,0.36,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),23.96793669,3.827,1182.3,1.8,0.416,27.5,3747.0,4.728,0.524,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9841859270672831,CONFIRMED(model),8.29561738,1.3421,824.3,1.82,0.888,17.9,3747.0,4.728,0.524,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9875757575757576,CONFIRMED(model),8.11437482,2.2736,1558.0,2.1,0.573,56.4,3692.0,4.753,0.517,0.28,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),14.74914825,6.0995,430.2,2.89,0.173,107.4,5847.0,4.191,1.402,0.26,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),21.81295996,4.3791,1175.4,3.38,0.053,37.8,5601.0,4.41,0.999,0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9827863121894073,CONFIRMED(model),15.37562369,3.3169,15337.0,11.01,0.692,166.0,4986.0,4.496,0.833,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),8.10363271,3.161,887.9,2.11,0.047,39.3,4861.0,4.574,0.732,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966101694915255,CONFIRMED(model),4.71510843,2.506,417.5,1.46,0.258,21.3,4861.0,4.574,0.732,-0.08,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9966666666666667,CONFIRMED(model),6.365839713,2.9721,780.7,2.44,0.524,70.8,5776.0,4.554,0.849,-0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9775757575757575,CONFIRMED(model),3.04033046,1.8411,10858.8,8.99,0.736,568.2,5035.0,4.519,0.791,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9899019817560003,CONFIRMED(model),15.33528675,3.897,3081.4,5.0,0.773,86.6,5251.0,4.581,0.817,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9857808857808859,CONFIRMED(model),7.95825328,4.377,50.0,1.06,0.706,14.7,5847.0,4.191,1.402,0.26,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9875757575757576,CONFIRMED(model),31.33046135,5.176,5073.8,6.5,0.798,117.2,5251.0,4.581,0.817,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),23.65369415,8.2183,3341.8,7.89,0.008,266.3,5739.0,4.191,1.384,0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),13.23352214,6.7372,504.6,3.06,0.014,49.1,5739.0,4.191,1.384,0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),6.15560285,4.9843,285.0,2.32,0.235,35.1,5739.0,4.191,1.384,0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9845811839842791,CONFIRMED(model),2.090811305,3.388,115.9,1.62,0.746,19.9,5739.0,4.191,1.384,0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9913043478260869,CONFIRMED(model),3.180027898,3.5797,120.3,1.53,0.196,50.4,5847.0,4.191,1.402,0.26,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),50.4467417,7.159,370.3,2.67,0.379,19.4,5739.0,4.191,1.384,0.3,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),11.76307164,2.9076,1037.3,2.35,0.048,48.9,4959.0,4.603,0.756,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),56.2279271,3.57,862.7,2.37,0.7,20.9,4959.0,4.603,0.756,0.16,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),7.953547,2.6312,875.4,2.25,0.3,38.4,4768.0,4.536,0.779,0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),4.14451656,2.3421,391.8,1.48,0.004,22.8,4768.0,4.536,0.779,0.18,0.0,0.0,0.0,0.0,Kepler
Kepler,0.888888888888889,UNDECIDED,10.526294577,2.5211,9768.0,8.24,0.644,482.3,5386.0,4.553,0.793,-0.2,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9639539204756596,CONFIRMED(model),4.583520948,2.7055,3812.1,5.39,0.045,99.5,5815.0,4.54,0.877,-0.12,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),3.76181843,3.5176,510.6,2.66,0.926,35.9,5653.0,4.472,0.949,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),8.20396958,2.9667,1024.4,3.01,0.823,54.4,5015.0,4.499,0.826,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9777777777777779,CONFIRMED(model),14.49645186,4.016,647.5,3.01,0.97,25.7,5015.0,4.499,0.826,0.1,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),6.54626149,2.75,655.9,2.19,0.644,24.8,5251.0,4.581,0.817,0.21,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),12.71809866,3.0957,1149.4,2.31,0.427,52.7,4702.0,4.592,0.686,-0.22,0.0,0.0,0.0,0.0,Kepler
Kepler,1.0,CONFIRMED(model),36.06588163,4.3246,1563.8,2.64,0.26,51.7,4702.0,4.592,0.686,-0.22,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9879710144927536,CONFIRMED(model),4.190425659,2.8589,2877.4,6.21,0.458,240.6,6073.0,4.392,1.135,0.2,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9913043478260869,CONFIRMED(model),3.709870784,3.0694,2020.3,4.35,0.023,116.1,5727.0,4.463,0.978,0.14,0.0,0.0,0.0,0.0,Kepler
Kepler,0.967364043383722,CONFIRMED(model),16.3297527,6.271,1187.5,3.75,0.791,74.6,5878.0,4.444,0.987,-0.06,0.0,0.0,0.0,0.0,Kepler
Kepler,0.6528943278943279,UNDECIDED,27.807566216,4.21587,25391.1,13.84,0.782,748.1,5862.0,4.584,0.785,-0.52,0.0,0.0,0.0,0.0,Kepler
Kepler,0.9845811839842791,CONFIRMED(model),80.8723469,11.195,3604.6,7.59,0.527,160.9,5510.0,4.222,1.238,0.16,0.0,0.0,0.0,0.0,Kepler
